"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788271","1.2.2.1.1","917300","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788271","1.2.2.1.1","993600","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","74.9","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","79.3","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110788278","1.2.2.2.1","48400","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110788278","1.2.2.2.1","","F","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, fair or poor","Percent","Percent","239","units","0","v110788281","1.2.2.2.4","4.0","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, fair or poor","Percent","Percent","239","units","0","v110788281","1.2.2.2.4","2.8","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110788285","1.2.2.3.1","851000","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110788285","1.2.2.3.1","857500","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v110788288","1.2.2.3.4","72.1","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v110788288","1.2.2.3.4","68.7","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110788292","1.2.2.4.1","88200","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110788292","1.2.2.4.1","108300","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v110788295","1.2.2.4.4","7.5","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v110788295","1.2.2.4.4","8.7","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110788299","1.2.2.5.1","107200","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110788299","1.2.2.5.1","132200","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v110788302","1.2.2.5.4","8.8","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v110788302","1.2.2.5.4","10.8","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110788320","1.2.2.8.1","348800","","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Number of persons","Number","223","units","0","v110788320","1.2.2.8.1","382700","","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent","239","units","0","v110788323","1.2.2.8.4","32.4","","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Percent","Percent","239","units","0","v110788323","1.2.2.8.4","33.0","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110788327","1.2.2.9.1","","F","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110788327","1.2.2.9.1","","x","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Arthritis (15 years and over)","Percent","Percent","239","units","0","v110788330","1.2.2.9.4","","F","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Arthritis (15 years and over)","Percent","Percent","239","units","0","v110788330","1.2.2.9.4","","x","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Diabetes","Number of persons","Number","223","units","0","v110788334","1.2.2.10.1","6200","E","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Diabetes","Number of persons","Number","223","units","0","v110788334","1.2.2.10.1","","F","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Diabetes","Percent","Percent","239","units","0","v110788337","1.2.2.10.4","0.5","E","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Diabetes","Percent","Percent","239","units","0","v110788337","1.2.2.10.4","0.7","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Asthma","Number of persons","Number","223","units","0","v110788341","1.2.2.11.1","","..","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Asthma","Number of persons","Number","223","units","0","v110788341","1.2.2.11.1","","..","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Asthma","Percent","Percent","239","units","0","v110788344","1.2.2.11.4","","..","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Asthma","Percent","Percent","239","units","0","v110788344","1.2.2.11.4","","..","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110788348","1.2.2.12.1","","..","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110788348","1.2.2.12.1","","..","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent","239","units","0","v110788351","1.2.2.12.4","","..","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent","239","units","0","v110788351","1.2.2.12.4","","..","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","High blood pressure","Number of persons","Number","223","units","0","v110788355","1.2.2.13.1","","F","","","0"
"2022","Canada (excluding territories)","","12 to 17 years","Males","High blood pressure","Number of persons","Number","223","units","0","v110788355","1.2.2.13.1","","F","","","0"
"2021","Canada (excluding territories)","","12 to 17 years","Males","High blood pressure","Percent","Percent","239","units","0","v110788358","1.2.2.13.4","","F","","","1"
"2022","Canada (excluding territories)","","12 to 17 years","Males","High blood pressure","Percent","Percent","239","units","0","v110788358","1.2.2.13.4","0.7","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Mood disorder","Number of persons","Number","223","units","0","v110788362","1.2.2.14.1","30000","E","","","0"
