"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132194","1.1.6.1","2762","B","","","0"
"2022","Canada","2021A000011124","All persons","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132194","1.1.6.1","3772","A","","","0"
"2021","Canada","2021A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","7.4","B","","","1"
"2022","Canada","2021A000011124","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132195","1.1.6.2","9.9","A","","","1"
"2021","Canada","2021A000011124","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132197","1.2.6.1","462","C","","","0"
"2022","Canada","2021A000011124","Persons under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132197","1.2.6.1","735","B","","","0"
"2021","Canada","2021A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","6.4","C","","","1"
"2022","Canada","2021A000011124","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132198","1.2.6.2","9.9","B","","","1"
"2021","Canada","2021A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132200","1.3.6.1","1917","B","","","0"
"2022","Canada","2021A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132200","1.3.6.1","2607","A","","","0"
"2021","Canada","2021A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","8.2","B","","","1"
"2022","Canada","2021A000011124","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132201","1.3.6.2","11.1","A","","","1"
"2021","Canada","2021A000011124","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132203","1.4.6.1","383","C","","","0"
"2022","Canada","2021A000011124","Persons 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132203","1.4.6.1","430","B","","","0"
"2021","Canada","2021A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","5.6","C","","","1"
"2022","Canada","2021A000011124","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132204","1.4.6.2","6.0","B","","","1"
"2021","Canada","2021A000011124","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132206","1.5.6.1","1306","B","","","0"
"2022","Canada","2021A000011124","Males","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132206","1.5.6.1","1859","A","","","0"
"2021","Canada","2021A000011124","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132207","1.5.6.2","7.0","B","","","1"
"2022","Canada","2021A000011124","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132207","1.5.6.2","9.9","A","","","1"
"2021","Canada","2021A000011124","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132209","1.6.6.1","225","C","","","0"
"2022","Canada","2021A000011124","Males, under 18 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132209","1.6.6.1","376","B","","","0"
"2021","Canada","2021A000011124","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132210","1.6.6.2","6.1","C","","","1"
"2022","Canada","2021A000011124","Males, under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132210","1.6.6.2","9.9","B","","","1"
"2021","Canada","2021A000011124","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132212","1.7.6.1","923","B","","","0"
"2022","Canada","2021A000011124","Males, 18 to 64 years","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132212","1.7.6.1","1295","A","","","0"
"2021","Canada","2021A000011124","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132213","1.7.6.2","7.9","B","","","1"
"2022","Canada","2021A000011124","Males, 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132213","1.7.6.2","11.0","A","","","1"
"2021","Canada","2021A000011124","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132215","1.8.6.1","157","C","","","0"
"2022","Canada","2021A000011124","Males, 65 years and over","Market basket measure, 2018 base","Number of persons in low income","Number","223","thousands","3","v1206132215","1.8.6.1","188","B","","","0"
"2021","Canada","2021A000011124","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132216","1.8.6.2","4.9","C","","","1"
"2022","Canada","2021A000011124","Males, 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132216","1.8.6.2","5.6","B","","","1"
