"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788817","1.3.2.1.1","2881300","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110788817","1.3.2.1.1","2759000","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110788824","1.3.2.2.1","287900","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110788824","1.3.2.2.1","339200","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110788831","1.3.2.3.1","2356100","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110788831","1.3.2.3.1","2217500","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110788838","1.3.2.4.1","571800","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110788838","1.3.2.4.1","679700","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110788845","1.3.2.5.1","821600","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110788845","1.3.2.5.1","871200","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110788852","1.3.2.6.1","1470500","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number","223","units","0","v110788852","1.3.2.6.1","1383400","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110788859","1.3.2.7.1","914900","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number","223","units","0","v110788859","1.3.2.7.1","955200","","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110788873","1.3.2.9.1","116400","E","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Arthritis (15 years and over)","Number of persons","Number","223","units","0","v110788873","1.3.2.9.1","102900","E","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Diabetes","Number of persons","Number","223","units","0","v110788880","1.3.2.10.1","37300","E","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Diabetes","Number of persons","Number","223","units","0","v110788880","1.3.2.10.1","","F","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Asthma","Number of persons","Number","223","units","0","v110788887","1.3.2.11.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Asthma","Number of persons","Number","223","units","0","v110788887","1.3.2.11.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110788894","1.3.2.12.1","","..","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number","223","units","0","v110788894","1.3.2.12.1","","..","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","High blood pressure","Number of persons","Number","223","units","0","v110788901","1.3.2.13.1","115800","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","High blood pressure","Number of persons","Number","223","units","0","v110788901","1.3.2.13.1","122900","E","","","0"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Mood disorder","Number of persons","Number","223","units","0","v110788908","1.3.2.14.1","417100","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Mood disorder","Number of persons","Number","223","units","0","v110788908","1.3.2.14.1","395400","","","","0"
"2022","Canada (excluding territories)","","18 to 34 years","Males","Anxiety disorder","Number of persons","Number","223","units","0","v1574189704","1.3.2.30.1","547200","","","","0"
