"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","47.7","","","","1"
"2021-10","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","45.3","","","","1"
"2022-01","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","46.4","","","","1"
"2022-04","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","47.5","","","","1"
"2022-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","49.2","","","","1"
"2022-10","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","44.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411227","1.2.1.4","7342","","","","0"
"2021-10","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411227","1.2.1.4","7043","","","","0"
"2022-01","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411227","1.2.1.4","7245","","","","0"
"2022-04","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411227","1.2.1.4","7438","","","","0"
"2022-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411227","1.2.1.4","7787","","","","0"
"2022-10","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411227","1.2.1.4","7096","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","36.8","","","","1"
"2021-10","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","39.2","","","","1"
"2022-01","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","39.2","","","","1"
