feature,missing_values_pct
discovered_size,99.799
industry_identifier_desc,97.675
fire_name,96.043
to_fs_date,91.102
to_hectares,91.102
responsible_group_desc,81.265
distance_from_water_source,73.038
first_bucket_drop_date,72.994
ia_access,59.289
true_cause,50.525
discovered_date,42.298
activity_class,38.229
bucketing_on_fire,35.949
ia_arrival_at_fire_date,35.368
fire_fighting_start_size,34.876
fire_fighting_start_date,34.876
fuel_type,23.765
wind_direction,8.227
wind_speed,8.227
relative_humidity,8.205
temperature,8.182
weather_conditions_over_fire,8.16
fire_position_on_slope,8.071
fire_spread_rate,7.467
fire_type,4.963
fire_start_date,2.727
initial_action_by,0.626
ex_fs_date,0.559
ex_hectares,0.559
start_for_fire_date,0.402
dispatch_date,0.358
dispatched_resource,0.358
fire_origin,0.156
